"Trial"	"Subject"	"StartPosition"	"EndPosition"	"DistToTarget"	"DistMoved"	"PressTime"	"AbsError"	"Error"	"Condition"	"Phase"	"Puck"	"Mass"
27	"KA01NS"	0.07753897	NA	4.92246103	NA	1.179999	NA	NA	2	1	"PlainPuck"	NA
28	"KA01NS"	3.903041	NA	1.096959	NA	0.18	NA	NA	2	1	"PlainPuck"	NA
29	"KA01NS"	2.965155	NA	2.034845	NA	0.4800001	NA	NA	2	1	"PlainPuck"	NA
30	"KA01NS"	0.9723725	NA	4.0276275	NA	0.7399998	NA	NA	2	1	"PlainPuck"	NA
31	"KA01NS"	2.380849	NA	2.619151	NA	0.54	NA	NA	2	1	"PlainPuck"	NA
32	"KA01NS"	0.364326	NA	4.635674	NA	0.8799997	NA	NA	2	1	"PlainPuck"	NA
33	"KA01NS"	2.046116	NA	2.953884	NA	0.4600001	NA	NA	2	1	"PlainPuck"	NA
34	"KA01NS"	2.983307	NA	2.016693	NA	0.3	NA	NA	2	1	"PlainPuck"	NA
35	"KA01NS"	0.5516443	NA	4.4483557	NA	0.8599997	NA	NA	2	1	"PlainPuck"	NA
36	"KA01NS"	0.2874947	NA	4.7125053	NA	1.219999	NA	NA	2	1	"PlainPuck"	NA
37	"KA01NS"	0.2339058	NA	4.7660942	NA	0.8199998	NA	NA	2	1	"PlainPuck"	NA
38	"KA01NS"	3.984334	NA	1.015666	NA	0.14	NA	NA	2	1	"PlainPuck"	NA
39	"KA01NS"	2.014109	NA	2.985891	NA	0.32	NA	NA	2	1	"PlainPuck"	NA
40	"KA01NS"	2.671884	NA	2.328116	NA	0.4800001	NA	NA	2	1	"PlainPuck"	NA
41	"KA01NS"	2.182919	NA	2.817081	NA	0.6199999	NA	NA	2	1	"PlainPuck"	NA
42	"KA01NS"	3.403481	NA	1.596519	NA	0.38	NA	NA	2	1	"PlainPuck"	NA
43	"KA01NS"	3.670634	NA	1.329366	NA	0.22	NA	NA	2	1	"PlainPuck"	NA
44	"KA01NS"	2.491656	NA	2.508344	NA	0.38	NA	NA	2	1	"PlainPuck"	NA
45	"KA01NS"	2.083172	NA	2.916828	NA	0.52	NA	NA	2	1	"PlainPuck"	NA
46	"KA01NS"	0.9350042	NA	4.0649958	NA	0.6599999	NA	NA	2	1	"PlainPuck"	NA
47	"KA01NS"	1.715734	NA	3.284266	NA	0.6399999	NA	NA	2	1	"PlainPuck"	NA
48	"KA01NS"	3.420253	NA	1.579747	NA	0.3	NA	NA	2	1	"PlainPuck"	NA
49	"KA01NS"	2.969535	NA	2.030465	NA	0.32	NA	NA	2	1	"PlainPuck"	NA
50	"KA01NS"	1.245945	NA	3.754055	NA	0.54	NA	NA	2	1	"PlainPuck"	NA
